lat,lon,year,dpe_class,adresse,consumption_kwh,surface_m2,num_dpe_records
48.905551,2.247315,2024,G,65 RUE DE L AIGLE,2238.3,53.1,1
48.777775,2.272795,2019,E,174 RUE D AULNAY,1895.077922077922,63.0,1
48.777775,2.272795,2022,E,174 RUE D AULNAY,1894.428571428572,63.0,1
48.777775,2.272795,2020,E,174 RUE D AULNAY,2031.584415584416,63.0,1
48.777775,2.272795,2023,E,174 RUE D AULNAY,1846.565789473684,63.0,1
48.777775,2.272795,2021,E,174 RUE D AULNAY,2020.671052631579,63.0,1
48.893111,2.279121,2019,D,110 RUE CHAPTAL,6967.5,53.8,1
48.88924,2.285758,2019,E,29 RUE MARIUS AUFAN,4284.681818181818,38.8,1
48.893111,2.279121,2022,D,110 RUE CHAPTAL,5688.866666666667,53.8,1
48.88924,2.285758,2022,E,29 RUE MARIUS AUFAN,3816.909090909091,38.8,1
48.893111,2.279121,2020,D,110 RUE CHAPTAL,6355.366666666667,53.8,1
48.893111,2.279121,2023,D,110 RUE CHAPTAL,5359.066666666667,53.8,1
48.893111,2.279121,2021,D,110 RUE CHAPTAL,6693.733333333334,53.8,1
48.88924,2.285758,2020,E,29 RUE MARIUS AUFAN,4138.181818181818,38.8,1
48.88924,2.285758,2023,E,29 RUE MARIUS AUFAN,3948.636363636364,38.8,1
48.88924,2.285758,2021,E,29 RUE MARIUS AUFAN,4592.727272727273,38.8,1
48.777775,2.272795,2024,E,174 RUE D AULNAY,2227.7162162162163,63.0,1
48.893111,2.279121,2024,D,110 RUE CHAPTAL,5337.566666666667,53.8,1
48.88924,2.285758,2024,E,29 RUE MARIUS AUFAN,3897.181818181818,38.8,1
48.808005,2.240321,2022,C,4 AVENUE LOUVOIS,4968.117647058823,35.4,1
48.808005,2.240321,2023,C,4 AVENUE LOUVOIS,4318.529411764706,35.4,1
48.808005,2.240321,2019,C,4 AVENUE LOUVOIS,5522.588235294118,35.4,1
48.808005,2.240321,2020,C,4 AVENUE LOUVOIS,5557.117647058823,35.4,1
48.808005,2.240321,2021,C,4 AVENUE LOUVOIS,5961.0,35.4,1
48.810358,2.3178,2022,C,170 AVENUE HENRI GINOUX,2106.494252873564,16.3,1
48.811078,2.304359,2022,D,212 AVENUE MARX DORMOY,1237.6296296296296,64.0,1
48.810358,2.3178,2023,C,170 AVENUE HENRI GINOUX,2037.685393258427,16.3,1
48.811078,2.304359,2023,D,212 AVENUE MARX DORMOY,1258.037037037037,64.0,1
48.810358,2.3178,2019,C,170 AVENUE HENRI GINOUX,2572.875,16.3,1
48.811078,2.304359,2019,D,212 AVENUE MARX DORMOY,1828.5882352941176,64.0,1
